id,Age
0,33.0
1,33.0
2,40.0
3,34.0
4,33.0
5,36.0
6,30.0
7,37.0
8,43.0
9,40.0
10,27.0
11,40.0
12,71.0
13,47.0
14,33.0
15,25.0
16,36.0
17,36.0
18,55.0
19,61.0
20,35.0
21,41.0
22,43.0
23,44.0
24,26.0
25,39.0
26,31.0
27,58.0
28,41.0
29,49.0
30,32.0
31,33.0
32,55.0
33,36.0
34,50.0
35,28.0
36,45.0
37,37.0
38,31.0
39,58.0
40,52.0
41,30.0
42,31.0
43,27.0
44,36.0
45,35.0
46,34.0
47,31.0
48,39.0
49,26.0
50,29.0
51,25.0
52,31.0
53,40.0
54,37.0
55,47.0
56,34.0
57,36.0
58,31.0
59,45.0
60,29.0
61,36.0
62,31.0
63,38.0
64,37.0
65,54.0
66,41.0
67,56.0
68,35.0
69,43.0
70,43.0
71,34.0
72,46.0
73,30.0
74,40.0
75,34.0
76,26.0
77,35.0
78,42.0
79,34.0
80,50.0
81,36.0
82,38.0
83,31.0
84,64.0
85,29.0
86,30.0
87,20.0
88,31.0
89,38.0
90,32.0
91,37.0
92,26.0
93,37.0
94,50.0
95,30.0
96,39.0
97,43.0
98,43.0
99,35.0
100,40.0
101,25.0
102,28.0
103,39.0
104,46.0
105,27.0
106,32.0
107,38.0
108,43.0
109,21.0
110,58.0
111,47.0
112,36.0
113,35.0
114,23.0
115,40.0
116,28.0
117,28.0
118,29.0
119,30.0
120,46.0
121,48.0
122,29.0
123,36.0
124,42.0
125,38.0
126,37.0
127,34.0
128,52.0
129,34.0
130,32.0
131,43.0
132,59.0
133,33.0
134,37.0
135,47.0
136,32.0
137,28.0
138,37.0
139,43.0
140,23.0
141,26.0
142,43.0
143,26.0
144,34.0
145,37.0
146,27.0
147,32.0
148,36.0
149,42.0
150,39.0
151,33.0
152,58.0
153,28.0
154,25.0
155,42.0
156,36.0
157,28.0
158,49.0
159,51.0
160,43.0
161,46.0
162,24.0
163,38.0
164,41.0
165,38.0
166,30.0
167,38.0
168,31.0
169,44.0
170,43.0
171,32.0
172,33.0
173,44.0
174,33.0
175,32.0
176,36.0
177,37.0
178,37.0
179,34.0
180,38.0
181,43.0
182,51.0
183,30.0
184,33.0
185,42.0
186,29.0
187,32.0
188,33.0
189,32.0
190,26.0
191,58.0
192,33.0
193,56.0
194,40.0
195,71.0
196,37.0
197,29.0
198,35.0
199,50.0
200,37.0
201,37.0
202,27.0
203,43.0
204,40.0
205,25.0
206,33.0
207,32.0
208,33.0
209,40.0
210,29.0
211,32.0
212,20.0
213,56.0
214,32.0
215,35.0
216,30.0
217,31.0
218,41.0
219,26.0
220,35.0
221,33.0
222,38.0
223,53.0
224,24.0
225,26.0
226,32.0
227,31.0
228,24.0
229,31.0
230,41.0
231,40.0
232,41.0
233,47.0
234,42.0
235,45.0
236,36.0
237,62.0
238,44.0
239,29.0
240,50.0
241,49.0
242,57.0
243,41.0
244,35.0
245,39.0
246,32.0
247,64.0
248,35.0
249,38.0
250,22.0
251,44.0
252,29.0
253,25.0
254,22.0
255,38.0
256,34.0
257,41.0
258,40.0
259,34.0
260,27.0
261,40.0
262,28.0
263,25.0
264,39.0
265,28.0
266,32.0
267,39.0
268,37.0
269,33.0
270,33.0
271,39.0
272,41.0
273,35.0
274,29.0
275,37.0
276,38.0
277,35.0
278,62.0
279,37.0
280,59.0
281,31.0
282,37.0
283,36.0
284,33.0
285,36.0
286,37.0
287,38.0
288,40.0
289,35.0
290,66.0
291,35.0
292,48.0
293,28.0
